Company Name,Current Year,Years_to_Bankrupt,Bankruptcy,"Total Revenue [CY 2005] ($USDmm, Historical rate)","Gross Profit [CY 2005] ($USDmm, Historical rate)","Net Income [CY 2005] ($USDmm, Historical rate)",EBITDA,"Total Current Assets [CY 2005] ($USDmm, Historical rate)","Total Assets [CY 2005] ($USDmm, Historical rate)","Total Current Liabilities [CY 2005] ($USDmm, Historical rate)","Cash from Ops. [CY 2005] ($USDmm, Historical rate)",Net_Debt_EBITDA,Profit_Margin,Net Debt,Net Workng Capital,Current_Ratio,Debt_to_Cash_Flow_From_Ops,"Market Capitalization [My Setting] [1/31/2005] ($USDmm, Historical rate)","Market Capitalization [My Setting] [01/31/2006] ($USDmm, Historical rate)"
ZoomAway Travel Inc. (TSXV:ZMA),2005,16.0,0.0,7.3,3.6,-4.1,1.2,0.7,2.3,33.5,1.0,26.3,-0.6,31.3,-32.8,0.0,30.7,0.2,0.3
"Brownie's Marine Group, Inc. (OTCPK:BWMG)",2005,16.0,0.0,2.9,1.0,-0.1,0.0,0.5,0.6,1.0,0.1,28.5,0.0,1.0,-0.4,0.5,15.1,2.2,0.4
GreenLink International Inc. (OTCPK:WSHE),2005,16.0,0.0,4.5,1.6,0.0,0.1,1.2,1.6,1.1,0.3,0.3,0.0,0.0,0.1,1.1,0.1,1.4,0.4
Multimedia Nova Corporation,2005,16.0,0.0,11.6,4.5,-0.2,0.7,5.9,11.2,2.7,-1.4,8.7,0.0,6.2,3.2,2.2,-4.5,0.6,0.5
eMedia Networks International Corporation,2005,16.0,0.0,1.1,0.5,-0.2,0.0,0.1,0.6,0.3,0.0,5.6,-0.2,0.3,-0.2,0.3,6.4,0.3,0.5
Granville Pacific Capital Corp.,2005,16.0,0.0,5.3,1.2,0.2,0.7,0.3,5.9,0.9,0.5,5.9,0.0,4.1,-0.7,0.3,8.5,0.7,0.6
"FXI, Inc.",2005,4.0,1.0,1231.5,142.5,-56.2,82.9,341.9,601.3,361.3,-22.9,9.0,0.0,743.6,-19.4,0.9,-32.5,77.0,0.7
Interplay Entertainment Corp. (OTCPK:IPLY),2005,1.0,1.0,7.2,6.7,5.9,3.6,0.7,0.7,12.2,0.1,0.4,0.8,1.3,-11.5,0.1,13.7,1.8,0.8
Urbanfund Corp. (TSXV:UFC),2005,16.0,0.0,1.1,0.5,-0.2,0.3,1.8,12.6,0.1,0.0,32.0,-0.2,8.8,1.7,14.6,-266.7,0.6,0.8
STT Enviro Corp.,2005,16.0,0.0,6.0,1.7,0.1,0.2,2.0,2.2,1.0,0.2,0.0,0.0,0.0,1.0,2.0,0.0,,0.8
"China Stationery and Office Supply, Inc.",2005,16.0,0.0,37.3,4.1,0.4,1.5,9.6,17.2,12.3,1.9,4.6,0.0,6.7,-2.7,0.8,3.5,3.8,0.8
"Oakridge Holdings, Inc.",2005,16.0,0.0,16.2,2.0,-0.1,0.6,6.1,15.1,5.6,0.6,5.7,0.0,3.3,0.5,1.1,5.2,1.6,0.9
Nordex Explosives Ltd.,2005,16.0,0.0,3.2,0.7,0.2,0.3,1.1,1.8,0.9,0.4,0.2,0.1,0.0,0.1,1.1,0.1,0.4,1.0
Partner Jet Corp. (TSXV:PJT),2005,16.0,0.0,6.1,0.7,0.0,0.2,1.3,2.3,0.6,0.2,0.7,0.0,0.2,0.7,2.3,0.7,1.6,1.0
Pearl River Holdings Limited (TSXV:PRH),2005,16.0,0.0,15.9,2.8,-0.1,0.3,5.0,7.4,1.4,0.6,0.0,0.0,0.0,3.6,3.7,0.0,1.3,1.0
NTG Clarity Networks Inc. (TSXV:NCI),2005,16.0,0.0,5.0,2.4,0.3,0.5,1.6,1.7,1.0,0.1,1.2,0.1,0.6,0.5,1.5,4.6,2.8,1.0
BFS Entertainment & Multimedia Limited,2005,16.0,0.0,8.8,5.4,0.2,0.8,3.3,4.1,1.3,1.7,0.0,0.0,0.0,2.0,2.6,0.0,0.7,1.0
MPL Communications Inc.,2005,16.0,0.0,5.7,3.4,0.4,0.3,0.8,6.9,4.0,0.3,0.0,0.1,0.0,-3.3,0.2,0.0,1.9,1.0
International Parkside Products Inc. (TSXV:IPD),2005,16.0,0.0,2.0,1.2,-0.2,0.0,0.3,1.4,0.6,0.3,4.6,-0.1,0.2,-0.2,0.6,0.8,1.1,1.1
SurgiLight Inc.,2005,3.0,1.0,2.0,2.0,0.3,0.1,1.0,5.3,4.1,0.5,16.9,0.2,1.4,-3.1,0.2,2.8,3.3,1.1
Surety Capital Corporation,2005,2.0,1.0,5.0,5.4,-0.3,0.7,45.3,49.5,8.9,0.3,0.0,-0.1,0.0,36.4,5.1,0.0,4.0,1.2
Inventronics Limited (TSXV:IVX),2005,16.0,0.0,15.2,1.7,-1.1,1.0,2.7,8.0,2.5,0.1,4.7,-0.1,4.8,0.2,1.1,37.9,0.5,1.2
Perlite Canada Inc.,2005,16.0,0.0,4.4,0.6,0.4,0.7,1.9,3.4,0.6,0.2,0.2,0.1,0.1,1.3,3.0,0.5,1.6,1.2
Epicore BioNetworks Inc.,2005,16.0,0.0,2.0,1.4,0.1,0.2,1.0,1.1,0.2,0.0,0.0,0.1,0.0,0.8,5.0,0.0,1.6,1.2
"Mendocino Brewing Company, Inc. (OTCPK:MENB)",2005,16.0,0.0,31.3,9.5,-1.3,0.4,9.0,22.6,12.1,-0.3,26.4,0.0,10.2,-3.1,0.7,-33.0,2.1,1.3
Manitex Capital Inc. (TSXV:MNX),2005,16.0,0.0,18.7,0.2,1.1,0.2,5.9,7.6,4.1,1.1,0.0,0.1,0.0,1.9,1.5,0.0,0.6,1.3
"Conmed Healthcare Management, Inc",2005,16.0,0.0,11.7,1.7,0.6,0.6,1.1,1.3,1.0,0.9,0.0,0.0,0.0,0.1,1.1,0.0,1.1,1.4
TRU Precious Metals Corp. (TSXV:TRU),2005,16.0,0.0,1.9,0.7,0.0,0.3,0.9,3.8,1.8,0.8,1.3,0.0,0.4,-1.0,0.5,0.5,,1.4
Appulse Corporation (TSXV:APL),2005,16.0,0.0,5.1,1.2,0.2,0.3,3.3,3.8,1.8,-0.1,3.1,0.0,1.0,1.5,1.9,-11.8,0.9,1.6
Helijet International Inc.,2005,16.0,0.0,18.1,2.6,-0.2,0.2,4.0,7.4,5.4,-0.4,13.0,0.0,2.5,-1.3,0.8,-5.9,2.0,1.7
WestBond Enterprises Corporation (TSXV:WBE),2005,16.0,0.0,5.3,1.5,0.2,0.5,1.5,4.1,1.3,0.5,2.2,0.0,1.0,0.3,1.2,2.2,1.9,1.8
Groupe Bikini Village Inc.,2005,16.0,0.0,32.8,2.3,-13.9,2.3,8.3,10.4,4.4,-6.6,0.0,-0.4,0.0,3.9,1.9,0.0,4.9,1.8
"Versus Technology, Inc.",2005,16.0,0.0,5.8,3.4,-0.5,0.5,3.2,5.1,0.9,0.3,2.8,-0.1,1.3,2.3,3.4,3.7,2.7,1.8
Questor Technology Inc. (TSXV:QST),2005,16.0,0.0,1.8,1.1,0.3,0.5,0.8,2.2,0.9,0.1,1.1,0.2,0.5,-0.1,0.9,4.0,1.9,1.9
Forum National Investments Ltd.,2005,16.0,0.0,4.9,3.9,1.4,1.5,1.5,6.8,2.1,0.3,0.4,0.3,0.6,-0.6,0.7,1.7,8.2,1.9
"Kolorfusion International, Inc. (OTCPK:KOLR)",2005,5.0,1.0,2.1,1.0,-0.3,0.0,0.5,1.4,2.0,-0.1,74.2,-0.2,1.1,-1.5,0.2,-11.8,5.4,1.9
"Torque Energy, Inc.",2005,16.0,0.0,2.7,2.0,0.3,1.5,1.3,11.1,5.7,0.9,3.0,0.1,4.6,-4.4,0.2,4.9,0.6,1.9
KFG Resources Ltd. (TSXV:KFG),2005,16.0,0.0,0.9,0.7,1.1,0.2,0.2,0.3,0.2,-0.2,0.0,1.2,0.0,0.0,0.9,0.0,0.7,2.0
Nanotech Security Corp. (TSXV:NTS),2005,16.0,0.0,1.6,0.6,-1.0,0.3,2.4,3.1,2.1,-1.0,2.2,-0.6,0.7,0.2,1.1,-0.7,3.3,2.0
Ginger Beef Corporation (TSXV:GB),2005,16.0,0.0,6.3,1.3,0.2,0.6,1.1,3.1,0.8,0.5,1.4,0.0,0.8,0.3,1.4,1.7,4.1,2.1
Audiotech Healthcare Corp.,2005,16.0,0.0,3.1,2.0,0.1,0.2,0.6,2.2,0.4,0.1,3.2,0.0,0.8,0.2,1.4,7.7,3.9,2.1
Gulf & Pacific Equities Corp. (TSXV:GUF),2005,16.0,0.0,1.6,1.2,-0.4,0.7,0.7,11.9,0.7,0.3,12.2,-0.3,9.1,0.0,1.0,28.9,1.9,2.1
